# https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population
2019 rank;Name;State;2019 estimate;Land area
1;New York;New York;8 336 817;780
2;Los Angeles;California;3 979 576;1 213
3;Chicago;Illinois;2 693 976;588
4;Houston;Texas;2 320 268;1 651
5;Phoenix;Arizona;1 680 992;1 340
6;Philadelphia;Pennsylvania;1 584 064;347
7;San Antonio;Texas;1 547 253;1 194
8;San Diego;California;1 423 851;842
9;Dallas;Texas;1 343 573;882
10;San Jose;California;1 021 795;459
11;Austin;Texas;978 908;809
12;Jacksonville;Florida;911 507;1 935
13;Fort Worth;Texas;909 585;888
14;Columbus;Ohio;898 553;565
15;Charlotte;North Carolina;885 708;791
16;San Francisco;California;881 549;121
17;Indianapolis;Indiana;876 384;936
18;Seattle;Washington;753 675;217
19;Denver;Colorado;727 211;397
20;Washington;District of Columbia;705 749;158
21;Boston;Massachusetts;6 926;125
22;El Paso;Texas;681 728;665
23;Nashville;Tennessee;67 082;1 232
24;Detroit;Michigan;670 031;359
25;Oklahoma City;Oklahoma;655 057;1 570
26;Portland;Oregon;654 741;345
27;Las Vegas;Nevada;651 319;348
28;Memphis;Tennessee;651 073;822
29;Louisville;Kentucky;617 638;682
30;Baltimore;Maryland;59 349;209
31;Milwaukee;Wisconsin;590 157;249
32;Albuquerque;New Mexico;560 513;487
33;Tucson;Arizona;548 073;597
34;Fresno;California;531 576;296
35;Mesa;Arizona;518 012;357
36;Sacramento;California;513 624;253
37;Atlanta;Georgia;506 811;345
38;Kansas City;Missouri;495 327;815
39;Colorado Springs;Colorado;478 221;506
40;Omaha;Nebraska;478 192;345
41;Raleigh;North Carolina;474 069;375
42;Miami;Florida;467 963;93
43;Long Beach;California;462 628;130
44;Virginia Beach;Virginia;449 974;633
45;Oakland;California;433 031;144
46;Minneapolis;Minnesota;429 606;139
47;Tulsa;Oklahoma;40 119;509
48;Tampa;Florida;3 997;293
49;Arlington;Texas;398 854;248
50;New Orleans;Louisiana;390 144;438
51;Wichita;Kansas;389 938;415
52;Bakersfield;California;384 145;385
53;Cleveland;Ohio;381 009;201
54;Aurora;Colorado;379 289;397
55;Anaheim;California;350 365;129
56;Honolulu;Hawaii;345 064;156
57;Santa Ana;California;332 318;70
58;Riverside;California;33 136;210
59;Corpus Christi;Texas;326 586;452
60;Lexington;Kentucky;323 152;734
61;Henderson;Nevada;320 189;271
62;Stockton;California;312 697;159
63;Saint Paul;Minnesota;308 096;134
64;Cincinnati;Ohio;30 394;200
65;St. Louis;Missouri;300 576;160
66;Pittsburgh;Pennsylvania;300 286;143
67;Greensboro;North Carolina;29 671;332
68;Lincoln;Nebraska;289 102;238
69;Anchorage;Alaska;288;4 420
70;Plano;Texas;287 677;185
71;Orlando;Florida;287 442;272
72;Irvine;California;287 401;169
73;Newark;New Jersey;282 011;62
74;Durham;North Carolina;278 993;284
75;Chula Vista;California;274 492;128
76;Toledo;Ohio;272 779;209
77;Fort Wayne;Indiana;270 402;286
78;St. Petersburg;Florida;265 351;160
79;Laredo;Texas;262 491;261
